train/explained_variance,train/policy_loss,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate,time/time_elapsed,time/iterations,time/total_timesteps,train/std,time/fps
nan,-0.0,99,0.0,-2.837877035140991,0.0007,0,100,500,1.0,769
nan,-0.0,199,0.0,-2.837877035140991,0.0007,1,200,1000,1.0,721
nan,-0.0,299,0.0,-2.837877035140991,0.0007,1,300,1500,1.0,758
nan,-0.0,399,0.0,-2.837877035140991,0.0007,2,400,2000,1.0,779
nan,-0.0,499,0.0,-2.837877035140991,0.0007,3,500,2500,1.0,798
nan,-0.0,599,0.0,-2.837877035140991,0.0007,6,600,3000,1.0,475
nan,-0.0,699,0.0,-2.837877035140991,0.0007,6,700,3500,1.0,507
nan,-0.0,799,0.0,-2.837877035140991,0.0007,7,800,4000,1.0,525
nan,-0.0,899,0.0,-2.837877035140991,0.0007,8,900,4500,1.0,537
nan,-0.0,999,0.0,-2.837877035140991,0.0007,15,1000,5000,1.0,331
-2.0602760314941406,-5.880384605916333e-07,1099,1.0231830709301129e-13,-2.827706813812256,0.0007,16,1100,5500,0.9949294328689575,343
0.0,-2.3650762159377337e-05,1199,1.1928699694685463e-10,-2.82212495803833,0.0007,17,1200,6000,0.9921553134918213,352
-2.872943878173828e-05,-0.0025966984685510397,1299,1.9063958234255551e-06,-2.8242440223693848,0.0007,17,1300,6500,0.9935372471809387,363
0.0,-0.00030840723775327206,1399,2.1465471178316875e-08,-2.835606336593628,0.0007,18,1400,7000,0.9988952875137329,372
0.0,-0.004028447903692722,1499,2.3366810637526214e-06,-2.826406955718994,0.0007,19,1500,7500,0.9941592216491699,380
0.0,-0.007447295822203159,1599,8.613107638666406e-06,-2.8213038444519043,0.0007,20,1600,8000,0.991885781288147,388
0.0,-0.0038069109432399273,1699,4.026329406769946e-06,-2.8348822593688965,0.0007,21,1700,8500,0.9994473457336426,396
0.0,-0.0034087058156728745,1799,3.3916894608410075e-06,-2.840548515319824,0.0007,22,1800,9000,1.0022931098937988,402
0.0,-0.005437992513179779,1899,3.24227471537597e-06,-2.835127353668213,0.0007,23,1900,9500,0.9980489015579224,406
0.0,-0.005094312131404877,1999,2.4857790776877664e-06,-2.8276472091674805,0.0007,24,2000,10000,0.9941147565841675,411
0.0,-0.0027490078937262297,2099,1.5591245983159752e-06,-2.8163204193115234,0.0007,25,2100,10500,0.9896283149719238,417
0.0,-0.003226890694350004,2199,1.0009478046413278e-06,-2.820133924484253,0.0007,26,2200,11000,0.9905800819396973,420
0.0001391768455505371,-0.0029346742667257786,2299,7.480592785213958e-07,-2.8231749534606934,0.0007,27,2300,11500,0.9919851422309875,422
