time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/n_updates,train/value_loss
2048,1,1538,1,,,,,,,,,,,
4096,2,576,7,0.0,0.0,nan,0.0,1.0,0.0003,0.0,0.2,-2.837877035140991,10,0.0
6144,3,407,15,0.0,0.0,nan,0.0,1.0,0.0003,0.0,0.2,-2.837877035140991,20,0.0
8192,4,448,18,0.0,0.0,nan,0.0,1.0,0.0003,0.0,0.2,-2.837877035140991,30,0.0
10240,5,474,21,0.07041015625,0.004115669,-4.730335712432861,0.0017234571401786524,1.010094404220581,0.0003,0.0028381480369716883,0.2,-2.856407879292965,40,0.0176895170354344
12288,6,493,24,0.07822265625,0.0066859256,5.781650543212891e-06,-0.0018744058805168606,1.0232545137405396,0.0003,0.00015146535588428378,0.2,-2.87095580548048,50,0.00015552095117622456
14336,7,504,28,0.171337890625,0.010211088,-1.5497207641601562e-06,-0.0058923085627611725,1.0435752868652344,0.0003,-0.002006981521844864,0.2,-2.907179768383503,60,7.40663955186821e-05
16384,8,507,32,0.087255859375,0.0071255956,-2.86102294921875e-06,-0.0032056502779596483,1.0509878396987915,0.0003,-0.016360117122530937,0.2,-2.931814581900835,70,4.643504481082889e-05
18432,9,511,36,0.0958984375,0.0076536015,8.940696716308594e-07,-0.0031416226229339372,1.0578711032867432,0.0003,-0.0010670548072084785,0.2,-2.9446887277066707,80,5.4041234702470464e-05
20480,10,518,39,0.158642578125,0.013830129,4.649162292480469e-06,-0.005081242983578704,1.075291633605957,0.0003,-0.0037080442998558283,0.2,-2.9653000593185426,90,2.907501282463786e-05
22528,11,517,43,0.03017578125,0.006820852,-1.3113021850585938e-06,-0.0003829527588095516,1.0897963047027588,0.0003,-0.004200722556561232,0.2,-2.9981015257537367,100,6.172654228542271e-05
24576,12,525,46,0.067333984375,0.008128261,-3.5762786865234375e-07,-0.0009501586420810782,1.1067887544631958,0.0003,-0.00874008983373642,0.2,-3.028928165137768,110,1.6988315058396805e-05
26624,13,529,50,0.078857421875,0.00920055,9.59634780883789e-06,-0.0019720316893653946,1.1233530044555664,0.0003,-0.001074436935596168,0.2,-3.0591704696416855,120,1.0029105954302217e-05
28672,14,535,53,0.109033203125,0.01044194,1.9431114196777344e-05,-0.0027027234747947658,1.1370940208435059,0.0003,0.021414780989289284,0.2,-3.0857114046812057,130,1.1541829273000468e-05
30720,15,540,56,0.032373046875,0.0059173033,-1.3470649719238281e-05,-8.161341102095321e-05,1.1458814144134521,0.0003,-0.001618219306692481,0.2,-3.103858872503042,140,4.017848851756069e-06
32768,16,543,60,0.03603515625,0.006555589,-3.4809112548828125e-05,-0.0005367823592678178,1.172777533531189,0.0003,-0.017514420673251152,0.2,-3.1341064922511577,150,1.2101035383097272e-05
